"Location: 51.8992, -2.1288"
"Date: 2023-06-08"
"Model: clear-sky"
"TZ: GMT+1"
"Source: DQYDJ, https://dqydj.com/solar-irradiance-calculator/"

time,ghi_wm2,dni_wm2,dhi_wm2,gti_wm2,air_mass,altitude_deg
2023-06-07T23:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-06-07T23:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-06-07T23:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-06-07T23:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-06-07T23:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-06-07T23:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-06-08T00:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-06-08T00:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-06-08T00:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-06-08T00:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-06-08T00:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-06-08T00:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-06-08T01:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-06-08T01:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-06-08T01:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-06-08T01:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-06-08T01:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-06-08T01:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-06-08T02:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-06-08T02:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-06-08T02:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-06-08T02:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-06-08T02:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-06-08T02:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-06-08T03:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-06-08T03:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-06-08T03:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-06-08T03:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-06-08T03:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-06-08T03:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-06-08T04:00:00.000Z,0.036,9.929,0.000,0.001,34.958,0.210
2023-06-08T04:10:00.000Z,2.594,53.675,1.252,1.070,22.904,1.433
2023-06-08T04:20:00.000Z,14.629,135.448,8.278,6.566,16.293,2.688
2023-06-08T04:30:00.000Z,32.446,234.604,16.197,12.015,12.369,3.972
2023-06-08T04:40:00.000Z,53.275,333.982,22.521,15.657,9.846,5.284
2023-06-08T04:50:00.000Z,75.902,425.507,26.837,17.638,8.116,6.621
2023-06-08T05:00:00.000Z,99.726,506.692,29.349,18.479,6.869,7.984
2023-06-08T05:10:00.000Z,124.409,577.582,30.381,18.630,5.934,9.369
2023-06-08T05:20:00.000Z,149.734,639.167,30.231,18.400,5.210,10.776
2023-06-08T05:30:00.000Z,175.549,692.675,29.144,17.988,4.636,12.202
2023-06-08T05:40:00.000Z,201.739,739.292,27.315,17.512,4.171,13.647
2023-06-08T05:50:00.000Z,228.207,780.065,24.893,17.046,3.787,15.108
2023-06-08T06:00:00.000Z,254.871,815.887,21.997,16.628,3.466,16.584
2023-06-08T06:10:00.000Z,281.657,847.502,18.722,23.505,3.195,18.074
2023-06-08T06:20:00.000Z,308.498,875.528,15.143,59.788,2.962,19.576
2023-06-08T06:30:00.000Z,335.328,900.478,11.322,97.366,2.762,21.089
2023-06-08T06:40:00.000Z,362.087,922.777,7.311,135.889,2.587,22.611
2023-06-08T06:50:00.000Z,388.717,942.780,3.154,175.062,2.434,24.140
2023-06-08T07:00:00.000Z,416.273,960.783,0.000,215.313,2.299,25.675
2023-06-08T07:10:00.000Z,446.818,977.037,0.000,257.935,2.179,27.214
2023-06-08T07:20:00.000Z,477.116,991.751,0.000,300.908,2.072,28.756
2023-06-08T07:30:00.000Z,507.089,1005.105,0.000,344.015,1.977,30.299
2023-06-08T07:40:00.000Z,536.663,1017.250,0.000,387.058,1.891,31.841
2023-06-08T07:50:00.000Z,565.767,1028.317,0.000,429.855,1.813,33.380
2023-06-08T08:00:00.000Z,594.335,1038.420,0.000,472.237,1.744,34.914
2023-06-08T08:10:00.000Z,622.300,1047.654,0.000,514.051,1.680,36.441
2023-06-08T08:20:00.000Z,649.601,1056.103,0.000,555.150,1.623,37.959
2023-06-08T08:30:00.000Z,676.178,1063.842,0.000,595.399,1.571,39.465
2023-06-08T08:40:00.000Z,701.974,1070.933,0.000,634.672,1.523,40.956
2023-06-08T08:50:00.000Z,726.933,1077.432,0.000,672.850,1.480,42.430
2023-06-08T09:00:00.000Z,751.002,1083.389,0.000,709.820,1.441,43.884
2023-06-08T09:10:00.000Z,774.132,1088.847,0.000,745.479,1.405,45.314
2023-06-08T09:20:00.000Z,796.274,1093.843,0.000,779.727,1.372,46.716
