"Location: 51.8992, -2.1288"
"Date: 2022-12-15"
"Model: clear-sky"
"TZ: GMT"
"Source: DQYDJ, https://dqydj.com/solar-irradiance-calculator/"

time,ghi_wm2,dni_wm2,dhi_wm2,gti_wm2,air_mass,altitude_deg
2022-12-15T00:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T00:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T00:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T00:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T00:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T00:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T01:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T01:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T01:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T01:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T01:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T01:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T02:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T02:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T02:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T02:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T02:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T02:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T03:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T03:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T03:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T03:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T03:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T03:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T04:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T04:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T04:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T04:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T04:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T04:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T05:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T05:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T05:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T05:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T05:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T05:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T06:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T06:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T06:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T06:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T06:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T06:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T07:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T07:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T07:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T07:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T07:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T07:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T08:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T08:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T08:20:00.000Z,0.096,14.372,0.000,7.404,32.759,0.381
2022-12-15T08:30:00.000Z,3.267,63.122,1.574,37.345,22.190,1.537
2022-12-15T08:40:00.000Z,14.262,141.758,7.689,97.912,16.411,2.658
2022-12-15T08:50:00.000Z,28.984,230.338,13.960,172.345,12.943,3.740
2022-12-15T09:00:00.000Z,45.106,315.900,18.771,247.689,10.687,4.782
2022-12-15T09:10:00.000Z,61.600,393.142,21.988,318.193,9.125,5.783
2022-12-15T09:20:00.000Z,77.954,460.799,23.871,382.101,7.991,6.740
2022-12-15T09:30:00.000Z,93.879,519.291,24.728,439.352,7.137,7.652
2022-12-15T09:40:00.000Z,109.196,569.600,24.829,490.463,6.476,8.518
2022-12-15T09:50:00.000Z,123.781,612.803,24.389,536.077,5.954,9.334
2022-12-15T10:00:00.000Z,137.548,649.899,23.574,576.793,5.534,10.100
2022-12-15T10:10:00.000Z,150.428,681.748,22.514,613.119,5.193,10.814
2022-12-15T10:20:00.000Z,162.368,709.072,21.312,645.463,4.912,11.474
2022-12-15T10:30:00.000Z,173.325,732.465,20.044,674.150,4.680,12.079
2022-12-15T10:40:00.000Z,183.263,752.415,18.774,699.433,4.488,12.628
2022-12-15T10:50:00.000Z,192.151,769.318,17.550,721.511,4.330,13.118
2022-12-15T11:00:00.000Z,199.963,783.494,16.412,740.535,4.199,13.549
2022-12-15T11:10:00.000Z,206.678,795.201,15.390,756.624,4.093,13.919
2022-12-15T11:20:00.000Z,212.278,804.644,14.509,769.868,4.009,14.228
2022-12-15T11:30:00.000Z,216.749,811.982,13.788,780.334,3.944,14.475
2022-12-15T11:40:00.000Z,220.080,817.336,13.241,788.071,3.897,14.659
2022-12-15T11:50:00.000Z,222.261,820.793,12.879,793.115,3.867,14.779
2022-12-15T12:00:00.000Z,223.288,822.407,12.707,795.486,3.853,14.836
2022-12-15T12:10:00.000Z,223.159,822.203,12.729,795.194,3.855,14.829
2022-12-15T12:20:00.000Z,221.873,820.180,12.944,792.238,3.872,14.758
2022-12-15T12:30:00.000Z,219.433,816.304,13.348,786.606,3.906,14.623
2022-12-15T12:40:00.000Z,215.846,810.514,13.935,778.273,3.957,14.425
2022-12-15T12:50:00.000Z,211.121,802.716,14.693,767.202,4.026,14.164
2022-12-15T13:00:00.000Z,205.270,792.781,15.607,753.340,4.115,13.841
2022-12-15T13:10:00.000Z,198.307,780.541,16.658,736.613,4.226,13.457
2022-12-15T13:20:00.000Z,190.252,765.778,17.818,716.926,4.362,13.013
2022-12-15T13:30:00.000Z,181.126,748.222,19.056,694.155,4.528,12.510
2022-12-15T13:40:00.000Z,170.957,727.538,20.330,668.137,4.728,11.949
2022-12-15T13:50:00.000Z,159.776,703.309,21.589,638.663,4.970,11.331
2022-12-15T14:00:00.000Z,147.621,675.026,22.768,605.464,5.263,10.659
2022-12-15T14:10:00.000Z,134.537,642.068,23.782,568.198,5.621,9.933
2022-12-15T14:20:00.000Z,120.580,603.681,24.525,526.433,6.061,9.155
2022-12-15T14:30:00.000Z,105.821,558.974,24.861,479.641,6.611,8.328
2022-12-15T14:40:00.000Z,90.356,506.924,24.611,427.204,7.309,7.452
2022-12-15T14:50:00.000Z,74.315,446.450,23.548,368.486,8.216,6.529
2022-12-15T15:00:00.000Z,57.899,376.640,21.393,303.041,9.431,5.562
2022-12-15T15:10:00.000Z,41.431,297.324,17.835,231.182,11.120,4.552
2022-12-15T15:20:00.000Z,25.505,210.408,12.659,155.307,13.590,3.500
2022-12-15T15:30:00.000Z,11.343,122.589,6.190,82.524,17.449,2.409
2022-12-15T15:40:00.000Z,1.753,48.890,0.660,27.570,24.015,1.281
2022-12-15T15:50:00.000Z,0.018,8.838,0.000,4.488,36.233,0.117
2022-12-15T16:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T16:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T16:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T16:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T16:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T16:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T17:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T17:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T17:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T17:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T17:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T17:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T18:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T18:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T18:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T18:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T18:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T18:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T19:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T19:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T19:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T19:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T19:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T19:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T20:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T20:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T20:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T20:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T20:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T20:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T21:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T21:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T21:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T21:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T21:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T21:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T22:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T22:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T22:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T22:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T22:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T22:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T23:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T23:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T23:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T23:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T23:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-15T23:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2022-12-16T00:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
