"Location: 51.8992, -2.1288"
"Date: 2023-09-05"
"Model: clear-sky"
"TZ: GMT+1"
"Source: DQYDJ, https://dqydj.com/solar-irradiance-calculator/"

time,ghi_wm2,dni_wm2,dhi_wm2,gti_wm2,air_mass,altitude_deg
2023-09-05T11:50:00.000Z,780.428,1105.481,0.000,1123.780,1.415,44.907
2023-09-05T12:00:00.000Z,782.366,1105.933,0.000,1126.989,1.412,45.026
2023-09-05T12:10:00.000Z,782.761,1106.025,0.000,1127.693,1.411,45.050
2023-09-05T12:20:00.000Z,781.611,1105.758,0.000,1125.890,1.413,44.980
2023-09-05T12:30:00.000Z,778.920,1105.129,0.000,1121.585,1.417,44.815
2023-09-05T12:40:00.000Z,774.693,1104.134,0.000,1114.788,1.424,44.558
2023-09-05T12:50:00.000Z,768.937,1102.767,0.000,1105.513,1.432,44.209
2023-09-05T13:00:00.000Z,761.666,1101.018,0.000,1093.783,1.444,43.771
2023-09-05T13:10:00.000Z,752.894,1098.873,0.000,1079.623,1.458,43.248
2023-09-05T13:20:00.000Z,742.640,1096.317,0.000,1063.067,1.474,42.640
2023-09-05T13:30:00.000Z,730.924,1093.331,0.000,1044.152,1.494,41.954
2023-09-05T13:40:00.000Z,717.772,1089.892,0.000,1022.924,1.516,41.191
2023-09-05T13:50:00.000Z,703.211,1085.973,0.000,999.432,1.542,40.356
2023-09-05T14:00:00.000Z,687.272,1081.542,0.000,973.732,1.571,39.454
2023-09-05T14:10:00.000Z,669.989,1076.562,0.000,945.887,1.604,38.487
2023-09-05T14:20:00.000Z,651.400,1070.989,0.000,915.965,1.641,37.461
2023-09-05T14:30:00.000Z,631.545,1064.773,0.000,884.041,1.683,36.379
2023-09-05T14:40:00.000Z,610.467,1057.856,0.000,850.196,1.729,35.245
2023-09-05T14:50:00.000Z,588.215,1050.168,0.000,814.520,1.782,34.064
2023-09-05T15:00:00.000Z,564.839,1041.631,0.000,777.108,1.840,32.838
2023-09-05T15:10:00.000Z,540.392,1032.150,0.000,738.065,1.905,31.571
2023-09-05T15:20:00.000Z,514.933,1021.615,0.000,697.503,1.978,30.268
