50.06,-5.28
50.22,-5.12
50.38,-4.96
50.38,-4.8
50.38,-4.64
50.38,-4.48
50.38,-4.16
50.38,-4.0
50.38,-3.84
50.38,-3.68
50.54,-4.64
50.54,-4.48
50.54,-4.32
50.54,-4.16
50.54,-4.0
50.54,-3.84
50.54,-3.68
50.7,-4.48
50.7,-4.32
50.7,-4.16
50.7,-4.0
50.7,-3.84
50.7,-3.68
50.7,-3.52
50.7,-3.36
50.7,-2.72
50.7,-2.56
50.7,-2.4
50.7,-2.24
50.86,-4.48
50.86,-4.32
50.86,-4.16
50.86,-4.0
50.86,-3.84
50.86,-3.68
50.86,-3.52
50.86,-3.36
50.86,-3.2
50.86,-3.04
50.86,-2.88
50.86,-2.72
50.86,-2.56
50.86,-2.4
50.86,-2.24
50.86,-2.08
50.86,-1.92
50.86,-1.76
50.86,-1.6
50.86,-1.28
50.86,-1.12
50.86,-0.96
50.86,-0.8
50.86,-0.64
50.86,-0.48
50.86,-0.32
50.86,-0.16
50.86,0.0
50.86,0.16
50.86,0.32
50.86,0.48
51.02,-4.16
51.02,-4.0
51.02,-3.84
51.02,-3.68
51.02,-3.52
51.02,-3.36
51.02,-3.2
51.02,-3.04
51.02,-2.88
51.02,-2.72
51.02,-2.56
51.02,-2.4
51.02,-2.24
51.02,-2.08
51.02,-1.92
51.02,-1.76
51.02,-1.6
51.02,-1.44
51.02,-1.28
51.02,-1.12
51.02,-0.96
51.02,-0.8
51.02,-0.64
51.02,-0.48
51.02,-0.32
51.02,-0.16
51.02,0.0
51.02,0.16
51.02,0.32
51.02,0.48
51.02,0.64
51.02,0.8
51.18,-2.88
51.18,-2.72
51.18,-2.56
51.18,-2.4
51.18,-2.24
51.18,-2.08
51.18,-1.92
51.18,-1.76
51.18,-1.6
51.18,-1.44
51.18,-1.28
51.18,-1.12
51.18,-0.96
51.18,-0.8
51.18,-0.64
51.18,-0.48
51.18,-0.32
51.18,-0.16
51.18,0.0
51.18,0.16
51.18,0.32
51.18,0.48
51.18,0.64
51.18,0.8
51.18,0.96
51.18,1.12
51.34,-2.72
51.34,-2.56
51.34,-2.4
51.34,-2.24
51.34,-2.08
51.34,-1.92
51.34,-1.76
51.34,-1.6
51.34,-1.44
51.34,-1.28
51.34,-1.12
51.34,-0.96
51.34,-0.8
51.34,-0.64
51.34,-0.48
51.34,-0.32
51.34,-0.16
51.34,0.0
51.34,0.16
51.5,-3.68
51.5,-3.52
51.5,-3.36
51.5,-2.56
51.5,-2.4
51.5,-2.24
51.5,-2.08
51.5,-1.92
51.5,-1.76
51.5,-1.6
51.5,-1.44
51.5,-1.28
51.5,-1.12
51.5,-0.96
51.5,-0.8
51.5,-0.64
51.5,-0.48
51.5,-0.32
51.5,-0.16
51.5,0.0
51.5,0.16
51.5,0.32
51.66,-4.0
51.66,-3.84
51.66,-3.68
51.66,-3.52
51.66,-3.36
51.66,-3.2
51.66,-3.04
51.66,-2.88
51.66,-2.4
51.66,-2.24
51.66,-2.08
51.66,-1.92
51.66,-1.76
51.66,-1.6
51.66,-1.44
51.66,-1.28
51.66,-1.12
51.66,-0.96
51.66,-0.8
51.66,-0.64
51.66,-0.48
51.66,-0.32
51.66,-0.16
51.66,0.0
51.66,0.16
51.66,0.32
51.66,0.48
51.82,-4.96
51.82,-4.8
51.82,-4.64
51.82,-4.48
51.82,-4.32
51.82,-4.16
51.82,-4.0
51.82,-3.84
51.82,-3.68
51.82,-3.52
51.82,-3.36
51.82,-3.2
51.82,-3.04
51.82,-2.88
51.82,-2.72
51.82,-2.56
51.82,-2.4
51.82,-2.24
51.82,-2.08
51.82,-1.92
51.82,-1.76
51.82,-1.6
51.82,-1.44
51.82,-1.28
51.82,-1.12
51.82,-0.96
51.82,-0.8
51.82,-0.64
51.82,-0.48
51.82,-0.32
51.82,-0.16
51.82,0.0
51.82,0.16
51.82,0.32
51.82,0.48
51.82,0.64
51.82,0.8
51.98,-4.64
51.98,-4.48
51.98,-4.32
51.98,-4.16
51.98,-4.0
51.98,-3.84
51.98,-3.68
51.98,-3.52
51.98,-3.36
51.98,-3.2
51.98,-3.04
51.98,-2.88
51.98,-2.72
51.98,-2.56
51.98,-2.4
51.98,-2.24
51.98,-2.08
51.98,-1.92
51.98,-1.76
51.98,-1.6
51.98,-1.44
51.98,-1.28
51.98,-1.12
51.98,-0.96
51.98,-0.8
51.98,-0.64
51.98,-0.48
51.98,-0.32
51.98,-0.16
51.98,0.0
51.98,0.16
51.98,0.32
51.98,0.48
51.98,0.64
51.98,0.8
51.98,0.96
51.98,1.12
52.14,-4.16
52.14,-4.0
52.14,-3.84
52.14,-3.68
52.14,-3.52
52.14,-3.36
52.14,-3.2
52.14,-3.04
52.14,-2.88
52.14,-2.72
52.14,-2.56
52.14,-2.4
52.14,-2.24
52.14,-2.08
52.14,-1.92
52.14,-1.76
52.14,-1.6
52.14,-1.44
52.14,-1.28
52.14,-1.12
52.14,-0.96
52.14,-0.8
52.14,-0.64
52.14,-0.48
52.14,-0.32
52.14,-0.16
52.14,0.0
52.14,0.16
52.14,0.32
52.14,0.48
52.14,0.64
52.14,0.8
52.14,0.96
52.14,1.12
52.14,1.28
52.14,1.44
52.3,-4.0
52.3,-3.84
52.3,-3.68
52.3,-3.52
52.3,-3.36
52.3,-3.2
52.3,-3.04
52.3,-2.88
52.3,-2.72
52.3,-2.56
52.3,-2.4
52.3,-2.24
52.3,-2.08
52.3,-1.92
52.3,-1.76
52.3,-1.6
52.3,-1.44
52.3,-1.28
52.3,-1.12
52.3,-0.96
52.3,-0.8
52.3,-0.64
52.3,-0.48
52.3,-0.32
52.3,-0.16
52.3,0.0
52.3,0.16
52.3,0.32
52.3,0.48
52.3,0.64
52.3,0.8
52.3,0.96
52.3,1.12
52.3,1.28
52.3,1.44
52.46,-3.84
52.46,-3.68
52.46,-3.52
52.46,-3.36
52.46,-3.2
52.46,-3.04
52.46,-2.88
52.46,-2.72
52.46,-2.56
52.46,-2.4
52.46,-2.24
52.46,-2.08
52.46,-1.92
52.46,-1.76
52.46,-1.6
52.46,-1.44
52.46,-1.28
52.46,-1.12
52.46,-0.96
52.46,-0.8
52.46,-0.64
52.46,-0.48
52.46,-0.32
52.46,-0.16
52.46,0.0
52.46,0.16
52.46,0.32
52.46,0.48
52.46,0.64
52.46,0.8
52.46,0.96
52.46,1.12
52.46,1.28
52.46,1.44
52.46,1.6
52.62,-4.0
52.62,-3.84
52.62,-3.68
52.62,-3.52
52.62,-3.36
52.62,-3.2
52.62,-3.04
52.62,-2.88
52.62,-2.72
52.62,-2.56
52.62,-2.4
52.62,-2.24
52.62,-2.08
52.62,-1.92
52.62,-1.76
52.62,-1.6
52.62,-1.44
52.62,-1.28
52.62,-1.12
52.62,-0.96
52.62,-0.8
52.62,-0.64
52.62,-0.48
52.62,-0.32
52.62,-0.16
52.62,0.0
52.62,0.16
52.62,0.32
52.62,0.48
